a3 a0 a0 99 99 92 8d 86 84 7f 78 6d 62 55 57 4f
a2 9f 9d 9a 96 8f 8a 88 87 7d 72 69 61 55 53 4a
a3 a0 9c 9c 95 8e 8a 8c 83 7d 76 6c 60 52 53 51
a3 a2 9d 9d 94 91 8b 8d 83 7a 72 6a 60 54 4f 4e
a0 a1 9d 9b 93 93 8c 8a 84 7d 74 6c 5f 53 4b 4d
9f a1 9d 99 94 94 8e 88 81 7f 79 6f 5e 53 4a 51
a1 a0 9e 99 97 92 8f 8a 80 7b 70 67 5d 57 49 4b
a2 9e 9e 98 98 90 8e 8c 80 7e 74 68 5b 56 48 4c
a3 a0 9f 9c 97 95 91 8a 81 7c 73 69 5c 55 52 48
a2 a0 9f 9c 97 94 90 8b 81 7c 76 6f 62 59 52 47
a0 a1 9e 9a 97 93 8e 8c 80 77 72 6a 5e 57 4f 48
a0 a2 9e 99 98 93 8c 8c 82 79 75 69 5d 59 54 4f
a1 a2 9d 99 98 93 8b 8a 7c 77 73 67 5a 56 51 4a
a2 a0 9c 99 97 92 8b 88 80 7c 73 6a 5d 55 54 4c
a1 9e 9c 9a 95 90 8b 88 7f 79 6c 69 5d 50 52 49
a0 9c 9b 9a 93 8e 8b 87 7d 77 6b 72 67 53 53 49
