2d 31 25 3f 57 6e 7b 8d 92 8a 8e 8a 83 8e 9a 9b
2b 27 28 3d 5c 70 87 8f 8f 8a 8d 8a 87 92 9c 9e
2e 29 31 49 65 77 8c 8a 8c 89 8a 89 8b 95 9c 9f
2e 2f 31 50 65 80 8d 8d 8c 8a 89 88 8f 99 9c 9f
2d 3b 3b 5d 71 8a 8b 8d 8e 8c 89 89 92 9c 9e a1
30 46 49 65 7d 8e 8a 8d 8d 8a 89 89 93 9e 9f a1
2e 47 4d 65 7c 8e 90 94 8d 89 8a 8b 94 9f a1 a0
2c 4b 58 77 85 94 8e 8c 90 8b 8d 90 97 a1 a2 a0
2b 51 67 78 87 93 93 94 8f 90 8e 90 9a 9f 9e 9f
2e 5c 6f 7d 8c 8d 96 8a 93 8e 8a 90 9d a1 9d 9d
2e 55 7a 7e 8f 92 95 91 92 8a 89 95 a2 a2 9e 9e
37 55 81 85 92 93 90 96 8e 8a 8e 9b a2 a0 9d 9f
3c 61 7f 90 94 8f 93 93 8d 8e 94 9d a0 9f 9d 9d
41 66 81 92 91 96 93 90 8e 8e 95 9c 9f a1 a0 9e
54 6f 88 93 90 97 8f 8e 8e 8e 96 9e a0 a0 a1 9f
61 7b 83 98 96 92 98 92 8e 90 9b a4 a0 9c 9d 9c
