85 84 84 82 7c 7b 7e 7f 7f 77 7a 77 81 8b 97 a2
84 82 82 81 7e 7c 7c 7c 7d 78 7d 7e 8b 96 a3 ad
80 81 81 7f 7d 7d 7d 7d 7c 79 7e 84 93 a2 af b8
7e 82 82 7e 7a 7a 7b 7e 7a 79 7e 89 9b ad ba c2
80 84 81 7c 7b 7a 79 7a 77 79 80 93 a7 b9 c5 cc
81 84 7f 7c 81 82 7c 78 77 7c 86 a0 b4 c2 cb cf
7f 83 7e 7b 82 84 7d 79 79 80 8b ab bd c7 cd d2
7e 84 7f 79 7d 7e 79 78 7a 81 8e b0 c3 cc d2 d7
7c 83 80 7d 7f 7b 76 7b 79 81 99 b8 c9 cf d4 d9
7b 7c 7b 7a 7a 78 76 76 7a 84 9e ba ca d0 d6 d9
7f 7b 7b 7c 79 7a 7a 77 7b 89 a4 be cc d2 d7 d9
7e 7c 7b 7b 7a 7a 7b 7b 7d 8e aa c1 cc d3 d7 d8
7d 80 7d 7b 7d 7a 7a 81 80 94 b0 c4 cd d3 d7 d7
7d 82 7e 7c 7f 7c 7c 86 84 98 b4 c7 ce d4 d8 d7
7c 7d 7b 7a 7c 7a 7c 83 88 9b b6 c8 cf d4 d7 d8
80 7c 7b 7d 7c 7d 81 83 8a 9c b7 c9 cf d3 d7 d8
