b6 b6 b3 af ad ab a7 a3 a7 9b 87 7d 89 8f 8f 7e
b5 b6 b5 b1 af ad aa a7 ab b6 b1 9c 8d 7b 69 4e
b5 b7 b6 b2 af ac a8 a4 a1 a4 9d 8c 7e 6d 62 53
b6 b7 b6 b2 ae aa a5 a0 9e 97 8d 83 7a 6b 59 49
b4 b5 b5 b2 b0 ad a7 a1 9b 98 8d 7d 73 6d 5c 4d
b4 b5 b4 b2 b0 ad a7 a1 97 93 8d 83 75 6b 58 4f
b4 b6 b5 b2 ae aa a4 9f 9d 91 88 84 77 6b 59 56
b4 b6 b6 b3 ae aa a4 a0 9c 95 8c 83 76 6e 58 50
b7 b6 b3 b1 ae ab a5 a0 9e 96 8c 83 7a 6d 5c 50
b6 b5 b4 b1 ae ab a6 a2 9b 96 8e 85 7a 6c 5c 52
b4 b5 b5 b2 ae ab a7 a4 9c 97 8f 86 7c 6d 5d 52
b4 b5 b5 b2 ae ab a7 a4 9f 97 8d 85 7d 70 5e 51
b5 b5 b4 b1 ad aa a5 a2 9e 96 8c 84 7c 70 60 54
b4 b4 b3 b0 ac a9 a4 a1 9a 95 8e 85 7a 6e 61 59
b2 b4 b4 b1 ac a9 a5 a3 98 95 8e 85 7a 6d 60 59
b2 b4 b5 b2 ad aa a7 a6 9b 95 8e 85 7b 6e 5f 55
