49 49 4f 4e 53 58 56 5c 5d 60 60 5e 62 64 61 5f
4c 4e 4d 4f 54 56 57 58 5d 60 5f 5e 60 62 61 62
49 4e 49 4d 51 52 5c 5e 5e 60 5f 5e 60 60 60 63
4c 4f 4d 50 54 52 55 56 5e 5f 5f 5f 61 5f 5e 61
4d 49 4a 4c 54 5b 5a 5e 5d 5d 5d 5e 61 60 5f 61
50 4d 51 4e 50 54 54 5e 5b 5c 5b 5c 60 61 61 63
43 49 51 56 57 54 54 5a 59 5c 5c 5c 5f 61 62 63
4f 4f 49 50 57 55 58 56 57 5d 5f 5d 5f 61 60 60
47 49 50 52 50 56 5a 54 54 58 61 5f 5e 61 60 64
4b 4a 50 53 52 56 5a 55 5a 5b 61 60 5f 60 5f 62
4b 49 4e 52 52 56 59 57 5d 5c 5f 60 5f 5e 5c 5f
4a 4a 4e 52 51 52 57 59 5d 5b 5e 60 60 5d 5b 5e
49 4b 50 52 50 4f 54 59 5c 5b 5c 5f 5e 5c 5e 61
44 48 4d 50 4f 4f 53 59 5a 5a 57 5a 5b 5a 5f 62
41 46 4a 4e 51 52 54 56 58 59 55 58 5a 5a 60 5f
45 49 4b 4f 54 56 53 52 58 5a 57 5a 5d 5d 61 5d
