70 72 77 7d 7b 80 81 7d 83 83 86 87 85 83 89 92
71 76 79 7c 79 82 84 81 83 83 81 80 83 88 8b 8b
71 71 77 81 7f 7e 7e 82 82 81 81 82 87 8b 8a 87
71 71 76 81 80 7d 7b 80 83 81 82 86 88 88 88 8a
71 78 78 79 79 80 80 7f 85 83 82 83 83 84 88 8c
6f 76 76 77 79 81 80 80 82 84 84 82 84 88 88 85
6d 72 73 79 7c 7e 7b 80 80 83 84 85 88 8b 88 82
6c 76 75 75 77 7e 7d 7f 83 81 81 83 85 86 86 87
74 72 75 74 82 7c 7d 7c 81 80 7f 82 86 85 87 8c
75 71 75 7e 79 7d 7f 7c 81 7f 80 83 84 84 87 8b
72 73 79 7a 7f 7a 7d 80 82 7e 81 84 83 83 87 88
70 73 79 76 82 7a 7d 82 83 7d 80 84 81 83 87 86
74 71 76 7e 7a 7e 80 7e 84 7d 7f 83 81 84 87 84
75 73 77 7a 7e 7c 7d 7c 83 7e 7f 82 81 84 87 86
73 74 79 74 82 78 79 7c 81 80 80 81 81 83 86 88
72 71 76 7b 78 78 7a 7a 7f 81 80 80 81 83 86 8b
