2d 2c 2f 2b 28 24 29 2b 2f 31 37 48 52 5b 69 68
2f 2b 2d 2a 2a 26 28 26 2b 28 2e 36 3e 4c 59 60
30 2a 2b 2a 2d 2b 2b 26 2d 27 2e 2f 34 41 4a 57
32 2b 2b 2c 30 2e 2e 28 29 26 2b 2e 34 3f 4b 59
34 2e 2e 2d 2f 2d 2e 2a 2f 2d 27 2a 2d 31 3f 49
33 2e 2e 2c 2e 2c 2e 2c 27 28 22 28 2d 2e 39 40
33 2d 2d 2c 2f 2d 2f 2d 2a 2a 27 2a 2e 2c 2e 35
36 30 2f 2e 31 2f 2f 2b 2d 28 27 25 29 2b 29 35
33 32 30 2f 2d 2a 2b 32 2a 30 29 27 28 2a 27 28
37 35 2d 29 2c 2c 2c 34 31 28 28 31 29 27 27 24
32 2b 2e 33 30 30 2f 25 2e 29 2b 2e 24 28 2a 24
37 33 2a 26 2b 2f 2e 2f 2d 31 2d 26 21 27 24 23
35 2d 30 32 2c 2f 33 29 2a 29 27 26 25 28 20 22
31 32 2f 2d 2f 2d 2b 2d 2b 26 2b 2d 29 2f 29 25
32 2d 2c 2d 2b 2a 2b 2a 24 23 26 23 1d 25 27 32
31 30 2a 29 2d 2a 27 2b 24 26 26 25 27 2b 39 67
