90 8e 8d 8a 90 92 93 8e 94 94 95 8f 94 96 98 94
8b 8f 91 8c 8f 91 91 8b 92 94 93 91 90 93 95 95
8d 88 8b 90 91 88 8d 95 90 93 92 93 8e 91 92 97
89 89 8c 8b 8d 8a 90 95 92 92 92 93 8f 90 92 98
88 89 8d 8c 8f 8d 8f 8e 93 91 92 91 92 90 93 96
8b 86 88 8c 91 8d 8f 91 93 90 91 8f 93 90 93 93
88 8a 8b 87 8c 91 95 91 91 91 91 90 91 91 92 93
8b 87 8a 8e 92 8d 8f 92 8f 92 91 93 8f 92 92 94
8a 8b 8b 8c 8e 8f 8e 8c 91 91 8d 90 91 94 92 94
8b 8b 8a 8a 8c 8e 8e 8d 90 91 8e 90 90 92 90 93
8c 8b 8a 89 8b 8e 8e 8d 8b 8e 8d 91 92 94 94 98
8c 8b 8a 8a 8b 8e 8e 8d 90 92 8f 91 90 92 90 93
8a 8a 8a 8a 8b 8d 8d 8c 8f 90 8c 8e 8d 8f 8d 91
88 89 8a 8a 8a 8c 8c 8b 8a 8b 88 8c 8d 91 90 94
86 88 89 89 89 8a 8b 8c 8d 8f 8d 8f 8e 8f 8c 90
86 88 8a 89 89 8a 8c 8d 8c 8f 8e 91 8e 8e 8c 8f
