90 8f 8d 8c 8d 8e 90 91 91 91 8e 8b 92 91 93 97
8c 8e 90 91 90 8f 8e 8f 8f 8d 8f 8e 91 8f 94 94
8f 90 90 8e 8c 8d 90 93 8e 8a 90 90 8f 8d 92 8f
8d 90 92 91 8f 8e 8f 90 8f 8c 90 8f 8e 8b 8e 8d
8f 91 92 91 90 90 90 90 90 91 90 8c 8e 8a 8b 8e
95 94 92 90 90 93 93 92 90 91 8f 8a 8f 8b 8c 91
91 94 95 96 96 96 93 8e 90 8e 8f 8c 8f 8c 8e 8f
93 95 95 95 95 96 93 90 90 8b 8f 90 8f 8d 90 8c
9a 96 97 96 98 93 94 95 95 94 93 8f 8e 8f 8d 8d
9f 9c 9c 99 9b 96 98 9a 93 90 90 8f 8f 8e 8d 8f
9d 9b 9c 99 9a 96 99 9a 94 91 90 93 93 8f 8e 90
9c 9c 9e 9b 9c 98 9a 99 98 96 94 96 95 91 90 90
9c 9c 9e 9b 9b 98 99 97 98 99 95 96 96 93 93 8f
9b 9b 9c 98 9a 99 9b 99 96 99 94 96 97 96 98 93
9e 9d 9e 9a 9e 9e a0 9c 97 99 93 97 99 96 9b 97
9e 9e 9f 9b 9d 9c 9b 96 99 98 92 98 99 94 99 97
