8e 92 90 8e 8c 8c 90 90 8d 95 93 91 8d 8d 92 8e
8e 92 91 91 8f 8e 90 8e 8e 92 93 93 91 8f 92 92
8c 91 90 90 90 8f 90 8d 8f 8e 91 93 90 8c 8b 90
8c 90 8f 8f 8f 90 92 8f 93 8f 93 94 92 8f 8c 92
8d 90 8e 8f 90 92 93 8f 92 8f 93 92 91 92 8f 94
8d 90 8e 8e 90 91 91 8b 91 90 91 90 90 91 90 91
8e 91 8d 8d 8f 91 91 8a 93 94 92 93 93 91 91 90
91 93 8e 8c 8f 92 94 8e 90 91 8e 93 94 8f 91 90
90 8d 8f 94 92 8e 8f 91 8c 8f 91 90 8f 91 93 93
8f 8b 8c 8f 8f 8e 90 92 8f 8f 90 90 92 93 92 91
8f 8c 8c 8d 8d 8f 92 91 90 91 91 92 93 94 92 90
8e 8d 8e 8e 8d 8f 91 8f 8f 92 94 93 92 91 92 93
8d 8d 8e 8e 8c 8e 8f 8e 90 92 93 93 92 91 93 96
8c 8c 8e 8e 8c 8e 90 90 92 91 90 91 93 95 95 96
8c 8b 8d 90 8f 8f 90 8f 92 91 91 93 95 96 96 97
8a 89 8c 91 91 8f 8d 8b 90 91 94 95 95 94 96 99
