9e 9f 9d 9c 97 9c 97 98 9a 99 97 9b 97 95 94 9a
9c 9c 9c 9b 97 9b 96 97 9a 99 97 9b 97 96 94 98
9c 9b 9c 9c 99 9a 95 97 9b 99 95 98 96 96 94 96
9e 9b 9c 9c 9a 99 95 98 9b 9a 95 96 93 95 93 95
9d 99 9b 9a 9a 98 96 99 9a 9a 97 97 93 95 93 94
9b 98 9b 98 9a 99 99 9a 97 9a 99 99 95 98 95 93
9a 98 9d 98 9b 9a 9a 99 96 99 98 98 96 9a 97 94
99 98 9d 97 9a 98 98 95 96 98 95 95 94 9b 99 96
97 9b 9d 9a 98 99 98 95 95 98 97 96 97 99 9b 97
97 99 9b 9d 9b 98 97 96 94 97 95 96 97 98 99 95
9c 98 97 99 99 96 96 9a 96 97 95 98 99 98 98 95
9e 98 95 97 97 95 97 9b 97 97 95 99 9a 97 98 97
9b 99 98 9a 9a 98 97 97 96 96 95 98 97 94 97 98
9a 99 98 97 97 98 97 96 96 97 95 97 96 93 97 99
9b 99 97 94 94 95 97 98 96 98 96 97 96 95 98 98
99 98 98 98 98 97 97 99 96 98 96 97 96 95 97 95
