a7 a6 a4 a2 a1 a2 a3 a4 a0 9d a2 a2 a0 9d a0 9e
a5 a4 a4 a3 a3 a2 a2 a2 a2 9f a3 a2 a1 9e a1 a0
a5 a4 a3 a2 a1 a1 a2 a2 a2 9f a3 a1 a1 9e a1 a0
a5 a4 a2 a2 a2 a3 a3 a3 a3 a1 a3 a0 a2 9f a2 a1
a3 a3 a3 a5 a6 a5 a4 a2 a5 a4 a4 a0 a3 a2 a3 a3
a6 a5 a3 a3 a5 a6 a6 a5 a4 a4 a3 9f a4 a2 a3 a3
a9 a6 a3 a3 a4 a6 a6 a6 a3 a3 a2 9d a3 a2 a2 a2
a5 a5 a6 a8 a9 a8 a4 a1 a3 a4 a2 9d a4 a2 a2 a2
a5 a5 a2 a4 a8 a5 a3 a7 a2 a2 a2 a2 a3 a4 a1 9e
a4 a3 a2 a4 a8 a6 a3 a5 a0 a1 a2 a2 a3 a4 a4 a3
a5 a4 a2 a4 a7 a6 a4 a5 a3 a4 a5 a3 a2 a2 a3 a4
a7 a5 a2 a3 a5 a5 a5 a6 a4 a6 a6 a4 a2 a2 a2 a2
a6 a4 a4 a4 a2 a3 a4 a5 a1 a3 a4 a4 a4 a4 a4 a3
a5 a4 a6 a7 a4 a3 a4 a3 a0 a1 a3 a3 a5 a5 a4 a2
a4 a3 a7 a8 a4 a4 a4 a2 a1 a2 a3 a3 a4 a4 a3 a1
a3 a1 a4 a5 a2 a2 a4 a0 a0 a2 a3 a3 a3 a4 a3 a2
