a4 a5 a5 a5 a5 a1 9f a0 9d 9b 9b 9d 9e 9c 98 96
a7 a5 a2 a3 a7 a5 a1 a0 9f 9e 9d 9e 9e 9b 99 97
a8 a6 a3 a4 a7 a6 a3 a2 a0 9f 9f 9e 9d 9a 99 99
a6 a8 a7 a6 a5 a3 a2 a4 a0 9f 9e 9e 9d 9b 9b 9c
a3 a7 a8 a6 a5 a2 a2 a4 a1 9f 9e 9e 9e 9d 9e 9f
a1 a3 a3 a3 a5 a5 a2 a2 a0 9e 9d 9c 9c 9c 9d 9f
a1 a2 a0 a0 a4 a5 a3 a2 a1 9f 9e 9d 9b 9a 9b 9d
a0 a2 a1 a0 a1 a2 a2 a3 a4 a3 a1 9f 9b 99 9b 9d
a0 9e 9c 9e a0 a2 a0 9f a0 9f a1 9c 9c 97 9a 9c
9a 9c 9b 9f 9b 9e 9d a0 a3 a0 9c 9a 9a 9b 99 98
9b 9f 9d a2 9c a1 9e a2 9f a0 9c 9c 98 9d 9b 9c
9d 9e 9c 9f 9d a0 9d 9d 9c 9f 9e 9c 99 9d 9d 9d
9c 9b 9d 9b 9f 9c 9d 9b 9f 9d 9c 99 9d 9c 9b 96
9c 9c a1 9c a1 9c a1 a0 9e 9c 9e 9a 9e 9a 9b 99
9b 9b 9f 9c 9f 9c a0 9f 9c 9c 9e 9d 9c 99 9b 9f
9f 9c 9b 9c 9f a0 9f 9e 9f 9c 99 9d 9a 9a 99 9d
