a3 a1 9e a1 a0 a2 9e 9e 98 9d 9c 9a 9c 9a 98 99
a2 a0 9f 9f a0 9e 9d 9c 9c 9c 9a 99 99 99 98 99
a1 9e a0 9d a0 9b 9d 9c 9b 97 96 98 99 99 9b 9c
a0 9e 9e 9d 9f 9d 9e 9d 98 93 95 9a 99 9a 9c 9c
9f 9e 9c 9e 9d 9e 9c 9c 99 95 98 9b 98 97 99 99
9f 9e 9a 9e 9b 9d 99 99 9b 98 99 99 97 95 97 98
9f 9e 9c 9d 9b 9a 99 99 9a 9a 98 96 97 97 97 98
9f 9d 9f 9c 9e 99 9b 9b 9a 9c 98 95 98 98 96 97
9c 9e 9d 99 97 9a 9b 97 94 99 98 96 98 96 95 99
9e 99 99 9d 9b 98 99 9b 99 99 95 93 97 97 96 98
9b 9d 9e 9b 99 9d 9e 99 97 97 96 96 9a 98 94 92
a0 9b 9b 9e 9c 99 9a 9c 9a 99 97 95 95 95 95 96
9f 9a 99 9b 99 96 98 9b 9b 99 98 96 95 96 98 99
9b 9c 9b 97 95 9a 9c 98 98 95 95 97 98 99 98 95
9e 99 99 9c 9a 98 99 9b 99 94 93 93 93 96 98 96
9a 9b 9d 9a 98 9b 9b 96 96 95 99 9a 95 94 96 94
