5f 60 62 62 65 5f 65 65 5f 5f 5f 62 66 65 62 61
62 63 60 62 62 61 64 65 60 61 62 63 65 64 62 64
60 62 5e 64 62 62 60 5e 5e 61 63 63 64 63 63 67
65 63 5b 5d 5c 5f 62 62 5e 61 63 63 63 61 61 65
5f 60 61 62 64 61 62 5e 61 63 63 63 63 60 5f 61
60 60 60 5e 62 5f 64 61 62 62 61 62 64 62 61 62
5c 5f 60 62 63 60 60 5c 61 61 5e 5f 63 63 62 64
61 63 5e 60 5e 61 61 5f 63 61 5e 5d 60 60 60 62
60 62 65 61 61 60 64 60 62 64 60 5f 5d 5f 61 5f
65 64 68 65 63 69 66 64 63 64 61 5f 5f 5f 63 61
5f 5e 64 62 5c 66 60 63 66 64 63 60 63 5f 65 63
63 61 64 63 61 68 65 64 67 64 65 62 67 5f 65 64
67 64 60 62 67 67 6a 61 65 63 65 62 68 60 65 64
60 63 61 62 63 5d 68 61 62 62 63 62 66 61 65 63
61 67 68 68 63 5f 69 69 64 65 63 63 63 61 64 62
63 63 62 65 61 66 65 65 67 69 65 64 61 62 63 60
