3f 40 46 4e 4e 4d 55 61 70 79 7b 87 8e 96 99 9b
3d 41 47 4d 4e 50 55 5c 6f 78 7d 83 8d 92 9a 9c
41 43 44 44 47 4f 58 5d 6b 77 82 86 91 93 9c 9b
3e 42 45 47 4b 51 57 5a 69 78 83 89 92 96 9d 9d
42 42 43 46 49 4f 58 60 6c 7b 80 87 8d 97 9d 9f
39 3c 44 4c 4f 4f 53 59 6d 7c 81 8b 8f 98 9c 9e
3c 3d 42 47 4a 4c 53 5c 6b 79 83 8d 94 98 9c 9d
3e 40 44 48 4b 4f 56 5c 69 75 81 89 94 95 9e a0
39 45 48 4c 4e 54 59 60 70 7b 85 8d 94 98 9a 9d
41 40 49 4f 4d 52 60 63 71 7b 85 8e 95 99 9b 9e
43 3d 49 52 52 52 60 65 72 7a 84 8d 94 97 9a 9f
40 41 4a 55 5b 57 59 68 73 7b 84 8d 94 97 9a 9f
44 46 4c 5b 5b 5d 59 6a 75 7d 86 8e 95 98 9b a0
48 45 4d 5b 52 5e 5f 68 73 7d 86 8d 94 98 9a 9e
46 45 4e 56 4e 5f 5f 64 70 7b 85 8b 92 97 9a 9c
40 48 51 51 54 61 5c 62 6f 7b 85 8a 91 98 9b 9c
