98 95 94 93 93 93 93 99 94 93 92 8e 92 93 8d 92
96 94 95 94 96 95 91 95 95 90 92 90 8f 92 8e 8e
97 94 94 95 97 96 90 91 97 90 93 92 8f 92 91 8c
9a 98 97 95 97 96 91 93 98 93 93 92 91 92 91 8e
9d 9c 9b 98 99 98 94 96 97 97 91 90 92 92 90 91
9b 9c 9d 9b 9b 9a 95 97 96 9a 93 91 95 92 92 94
99 9a 9d 9b 9b 9b 97 99 98 9a 96 96 96 93 95 95
9a 9b 9d 9b 9c 9d 9a 9c 98 98 97 9a 94 92 97 92
9a 9c 99 9b 9a 9c 99 9b 9b 99 9a 9c 9b 98 98 9b
9c 9d 98 99 98 9b 9a 9d 97 97 98 9b 9c 9b 9c 9d
99 9b 99 9b 9b 9c 99 9b 9b 9b 9b 9b 9b 9a 9a 99
98 9a 98 9b 9c 9d 99 99 99 9b 9b 9b 9b 9c 9c 9c
9d 9c 95 97 99 9d 9a 9b 9a 9c 9d 9b 9a 9b 9c 9c
9c 9b 96 97 99 9d 99 9a 9d 9d 9d 9c 9a 99 99 9a
99 9b 98 9a 9b 9c 97 97 99 97 97 9a 9c 9c 9c 9e
9a 9c 98 99 98 9a 97 9a 9b 97 95 99 9c 9b 9b 9c
