63 67 62 65 6e 67 6a 65 6a 63 63 66 63 61 62 63
64 68 62 67 69 65 67 63 65 66 64 60 62 68 66 5c
65 68 62 68 63 63 65 62 67 64 61 62 66 66 62 60
66 66 63 66 61 63 67 63 68 63 5f 64 66 5d 5c 66
66 64 64 63 62 62 67 63 61 63 60 5f 5f 5c 5c 62
63 61 62 5d 5f 5e 62 5f 5f 5f 5d 5c 5e 5f 5d 5c
5f 61 61 5c 5b 5c 5c 5d 61 5c 5a 5d 5e 5d 5d 5b
5e 64 62 5f 5b 5e 5b 60 60 5c 5c 5a 58 5a 5d 5a
67 66 5f 5e 5d 62 5b 5f 62 5d 5d 62 59 5d 56 59
62 62 62 5d 61 61 5d 5e 61 5b 5e 5d 5b 59 56 57
60 60 67 5c 64 60 61 5f 62 60 60 5d 5e 5c 57 58
63 62 69 5c 63 5f 63 60 60 63 5c 5e 5b 5e 55 57
65 64 68 5f 60 60 62 61 60 65 5c 5e 5a 5e 57 58
64 62 64 61 60 62 62 61 62 65 61 5c 5d 5c 5c 59
65 5f 62 62 61 63 63 62 60 63 5f 5a 58 58 5d 57
67 5e 61 61 62 63 64 63 60 65 5d 5f 54 5b 5e 59
