d9 d7 d8 da da da d9 d7 c9 7a 22 20 1f 25 5c 85
d7 d6 d8 da d9 da da d9 cd 94 2b 1c 21 28 6d 82
d6 d5 d7 d9 d8 d9 da d9 d4 b3 44 1d 22 31 79 84
d5 d6 d8 d8 d6 d7 d9 d8 d5 bf 61 1b 1c 35 75 83
d5 d6 d7 d7 d5 d7 d9 d8 da ca 85 20 1f 3c 7b 83
d5 d5 d6 d6 d5 d8 da d8 d6 ce 9b 28 1f 39 80 77
d5 d5 d6 d5 d4 d8 da d7 d7 d5 b2 48 23 3f 81 78
d7 d6 d6 d5 d4 d8 d9 d6 d6 d7 bf 66 21 46 78 7e
d5 d6 d6 d6 d5 d6 d7 d8 d6 d6 cd 93 33 4f 77 7c
d5 d4 d4 d4 d4 d5 d6 d6 d7 d3 d1 ad 45 54 7b 7f
d5 d4 d3 d4 d5 d5 d6 d6 d8 d2 d6 c3 6f 5c 7b 83
d5 d5 d4 d4 d5 d5 d6 d6 d7 d6 d6 cb a3 6c 78 89
d3 d4 d5 d5 d4 d4 d5 d6 d4 d8 d5 d2 c4 81 79 90
d3 d5 d6 d6 d5 d4 d5 d7 d3 d7 d6 da cb 96 7c 8e
d3 d5 d6 d7 d6 d5 d6 d6 d4 d6 d9 da cf ab 82 89
d2 d3 d5 d6 d6 d5 d5 d4 d4 d6 db d3 d9 bd 8a 8a
