b0 b8 b3 ad aa a4 9d 98 92 8b 80 7d 72 66 61 55
b1 b6 b2 ae aa a5 a1 9c 93 8c 84 7e 71 66 5f 56
b4 b5 b3 b0 aa a4 a2 9d 94 8b 88 7f 71 68 5f 58
b4 b4 b4 b3 ab a4 a2 9c 94 8b 89 7f 71 69 5e 58
b5 b4 b4 b4 ac a6 a4 9e 96 8c 89 7e 70 68 5c 55
b8 b8 b5 b2 ad a7 a5 9f 96 8d 89 7f 73 6b 60 57
b9 bc b5 b1 ae a9 a5 9e 95 8f 88 81 74 6b 63 57
b6 bb b5 b0 b0 ac a5 9e 96 91 87 80 72 66 5f 51
b8 b5 b3 b5 b0 a7 a3 9f 97 8c 8a 84 72 69 61 52
b7 b6 b4 b5 af a7 a4 9e 99 8f 8b 84 75 69 60 53
b6 b7 b5 b4 ae a6 a4 9e 99 90 89 83 76 68 5d 54
b5 b7 b6 b3 ac a6 a4 9d 97 90 87 81 76 66 5a 57
b6 b8 b6 b3 ac a7 a4 9d 96 90 87 7f 76 66 5b 5b
b7 b8 b6 b4 ad a7 a5 9e 96 91 88 80 76 68 5e 5c
b7 b7 b5 b3 ae a7 a5 9e 97 91 89 81 77 6b 5f 59
b7 b5 b3 b3 ad a7 a4 9e 96 90 89 81 77 6b 5f 54
