22 20 1E 1D 20 21 24 27 34 A8 DD E8 EB EB EC EB
1F 20 1F 1D 1E 1F 21 24 2A 65 D1 E6 E9 EA EB EC
20 1D 21 1D 1E 20 1F 22 29 38 AA DE E7 E9 EB EC
20 1E 1E 1E 20 1E 1F 21 24 2A 5E CB E4 E9 EA EC
1F 1F 1E 1F 1E 1F 1F 21 21 29 32 9B DD E9 EA EB
1F 20 21 1E 1F 1F 1D 1F 22 23 2B 54 C8 E5 EA EB
1E 1D 1F 1E 21 20 1E 1D 20 21 27 2E 95 DA E9 EA
1E 21 21 1F 1D 1E 1E 1D 20 20 22 28 52 CB E4 EA
20 1F 1F 1E 1D 1D 1F 1E 1E 1F 22 26 30 9D DE E9
1F 1E 1E 1E 1D 1D 1D 1E 1D 1E 1F 23 29 5B CD E7
1F 20 1E 1E 1E 1F 20 1F 1D 1C 21 22 26 34 AA E1
1E 1D 1E 1E 1D 1D 1E 1F 1D 1E 1F 20 23 2A 74 D5
1F 1F 1F 1D 1D 1E 1E 1F 1E 1F 1E 20 23 29 3E B7
1E 1E 1E 1E 1E 1D 1E 20 1E 1D 1F 1F 20 24 28 76
1E 1F 1F 1D 20 1E 1F 1F 1E 1F 1E 1D 20 21 28 39
20 21 1E 1E 1F 1C 1D 1C 1F 1F 1D 1E 20 21 25 28
