B0 AF B0 B0 B0 AE B1 B1 B2 B3 B5 B6 B8 B8 BA BB
AD AF AD B0 B0 B0 B0 B2 B2 B4 B6 B8 B8 B9 BC BD
AD AE B2 AF AE B0 B3 B2 B2 B3 B6 B6 B8 BA BC BD
AD AE AE AF AD B1 B2 B2 B2 B4 B7 B7 B7 BA BB BE
AC AE AE AD AF AF B2 B2 B4 B5 B4 B7 BB BB BC BD
AD AE AE AE AE AF B1 B2 B3 B5 B5 B8 B9 BB BE BE
AD AE AE AD AE B1 AF B3 B3 B3 B6 B6 BA BB BC BE
AE AD AD AD AE B0 B1 B2 B1 B4 B7 B7 BA BA BD BE
AD AD AF AF AE B0 B1 B4 B3 B4 B5 B7 B7 BB BB BE
AF AF AF AE B0 B0 B1 B2 B4 B4 B4 B7 BA BA BB BE
AD AD AD B0 AF B1 B2 B2 B3 B4 B6 B7 B9 BB BC BE
AE AF AE AD AE AF B1 B2 B4 B4 B6 B7 B9 BB BC BE
AC AD AC AD AF B1 B1 B2 B2 B4 B6 B6 BB BB BC BE
AD AF AF AF AE B0 B0 B2 B3 B6 B7 B9 B9 BB BA BE
AE AD AC AE AE B1 B0 B1 B3 B3 B5 B9 BA BA BC BF
AC AD AD AD AE AF AF B2 B3 B5 B5 B8 BA BB BE BF
