95 90 91 8D 8E 8B 8A 87 82 80 84 83 88 81 80 83
96 8F 8E 89 86 86 86 81 81 80 81 84 87 84 81 81
92 8B 8A 8B 87 80 81 7F 83 85 82 82 82 87 80 81
8F 8D 8B 88 88 85 85 82 83 83 82 7F 80 81 83 82
90 8E 8D 8A 89 84 85 83 84 84 86 81 82 85 87 86
90 91 90 8C 8A 86 81 84 83 81 81 81 7F 86 86 85
97 91 90 8A 87 82 80 81 81 80 81 84 82 88 8B 8C
91 8E 8C 8A 84 7E 81 7F 82 83 82 85 87 8A 8A 87
90 8C 8B 85 84 7F 80 83 86 84 7E 82 82 8A 89 87
90 8D 8A 82 80 81 7C 81 84 81 82 87 86 88 8B 89
8D 90 8B 8A 80 83 82 85 86 82 81 88 88 88 8C 8C
8D 8C 89 83 86 83 85 82 87 84 83 86 89 88 90 8E
8E 8A 85 80 82 84 80 81 7F 84 86 8B 8B 8D 90 8E
8D 88 84 81 7F 81 81 80 81 84 88 8C 8C 90 8F 8D
88 88 87 86 84 84 80 82 80 88 8B 8B 87 8C 8E 8D
88 86 89 88 85 86 81 85 85 89 89 8C 88 89 8C 88
