E2 E2 E1 E3 E3 E3 E3 E4 E6 E5 E6 E6 E6 E4 E6 E6
E2 E2 E2 E3 E2 E4 E4 E5 E5 E5 E5 E5 E6 E6 E5 E7
E4 E2 E2 E3 E4 E5 E4 E5 E5 E5 E6 E5 E7 E6 E6 E7
E3 E2 E2 E3 E3 E4 E4 E6 E4 E6 E7 E6 E6 E6 E5 E7
E4 E2 E2 E3 E3 E4 E5 E5 E5 E5 E6 E7 E6 E6 E5 E8
E3 E4 E4 E4 E4 E5 E5 E4 E6 E4 E6 E5 E7 E8 E6 E8
E3 E4 E4 E4 E6 E5 E5 E5 E5 E5 E5 E6 E6 E8 E8 E7
E3 E4 E4 E5 E6 E5 E5 E5 E5 E5 E6 E6 E6 E8 E8 E9
E4 E4 E4 E6 E5 E5 E6 E6 E5 E5 E4 E6 E6 E8 E7 E8
E3 E4 E5 E5 E5 E6 E6 E5 E5 E6 E7 E7 E7 E8 E8 E8
E3 E4 E4 E5 E5 E6 E6 E6 E7 E7 E8 E7 E8 E8 E8 E8
E4 E4 E6 E5 E4 E5 E5 E7 E8 E7 E7 E7 E8 E8 E9 E9
E4 E4 E5 E4 E4 E5 E7 E7 E7 E7 E7 E7 E8 E8 E8 E7
E2 E3 E5 E5 E5 E6 E6 E7 E7 E8 E8 E8 E8 E8 E8 E9
E3 E3 E3 E4 E4 E5 E6 E7 E8 E8 E8 E8 E8 E8 E8 E8
E3 E2 E3 E3 E4 E3 E7 E8 E8 E8 E8 E8 E8 E8 E9 E8
