1F 1F 20 22 20 21 20 1E 1F 21 21 20 1F 1F 20 20
1F 1F 21 21 20 1F 1F 1D 22 1F 1F 1D 1F 20 1F 1F
1D 1F 1F 20 1E 1F 1F 1E 1E 20 22 1F 1F 20 20 21
1E 1E 20 1E 20 1D 1E 1F 20 1F 1D 1E 20 21 1E 20
1E 1D 1D 1D 1D 1F 1F 1F 1F 21 1F 1E 1F 21 20 20
1F 20 20 1F 1E 1D 1E 1E 20 1E 1E 1C 20 1E 22 20
1E 1F 1E 1F 1E 1D 1F 20 1F 1E 1E 1E 1E 1E 20 21
1D 1E 1E 1D 1C 1E 1F 1F 1D 20 1E 1E 1F 1D 1F 20
1F 1D 1F 1F 1E 1E 1F 1F 1D 1E 20 20 1F 1E 20 1E
1D 1E 1D 1E 1D 1E 1E 1D 1D 1F 1F 1F 20 1E 1D 1F
1D 1F 1E 1D 1D 1D 1E 1E 1E 1F 20 20 1E 1D 1D 1E
1E 1D 1E 1B 1F 1F 1F 1F 1E 1D 21 1D 1E 1E 1D 1E
1E 1C 1D 1D 1D 1F 1D 1D 1F 1D 1E 1E 20 1E 1E 1F
1D 1C 1B 1C 1F 1F 1D 1D 1F 1F 1F 1E 1E 21 1F 1E
1A 1B 1C 1D 1D 1D 1E 1F 1D 1D 1E 1F 1D 1D 1E 1F
1C 1C 1B 1E 1E 1F 1E 1E 1D 1D 1D 1E 1E 1E 1F 1E
