53 60 6E 79 82 8A 92 98 A0 A5 A7 AC AD AC AD AF
40 4D 59 67 71 7C 87 8D 93 9B A1 A7 AA AC AD AE
30 3A 45 54 5D 6A 76 82 89 90 95 9B A2 A5 A8 AC
25 2B 33 3F 49 57 64 70 77 81 8A 91 97 9D A1 A7
23 25 27 2D 36 46 50 5E 65 72 7A 86 8B 93 9B 9E
22 21 23 26 2B 31 3C 49 54 60 6B 76 7E 87 8B 97
21 22 24 25 26 29 2E 36 3F 4C 57 63 6D 78 80 8A
21 22 21 24 25 27 26 2B 31 38 43 50 5D 69 70 7A
22 23 21 23 22 24 26 23 26 2B 34 3C 47 51 61 6B
21 23 24 24 24 25 26 25 26 26 2A 2C 35 3F 4B 55
22 21 21 23 23 25 24 23 23 24 24 26 29 2E 39 42
22 21 21 22 22 23 22 24 24 21 25 26 25 28 2D 32
21 21 21 23 22 25 24 21 23 21 23 23 26 27 24 28
23 21 21 22 22 23 23 22 23 21 22 23 23 24 24 25
22 22 23 22 21 21 22 23 22 21 20 23 22 24 24 23
21 21 21 20 23 22 21 21 23 21 22 22 22 23 24 20
